strategy,scenario,regime,size,run,seed,target_disorder,actual_disorder,operation_count,duration_seconds,valid,timed_out,returncode,bench_strategy,bench_complexity,error
medium,reverse,high,64,2,11020044,1.0,1.0,583,0.0034613019997777883,True,False,0,medium,n*sqrt(n),
medium,reverse,high,64,3,11020045,1.0,1.0,583,0.0034112640023522545,True,False,0,medium,n*sqrt(n),
medium,reverse,high,64,4,11020046,1.0,1.0,583,0.0034191129998362157,True,False,0,medium,n*sqrt(n),
medium,reverse,high,64,5,11020047,1.0,1.0,583,0.003439232001255732,True,False,0,medium,n*sqrt(n),
medium,reverse,high,64,6,11020048,1.0,1.0,583,0.0034345670028415043,True,False,0,medium,n*sqrt(n),
medium,reverse,high,64,7,11020049,1.0,1.0,583,0.0033571159983694088,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,1,11030043,1.0,1.0,1636,0.0060566370011656545,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,2,11030044,1.0,1.0,1636,0.006062115997337969,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,3,11030045,1.0,1.0,1636,0.00618733000010252,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,4,11030046,1.0,1.0,1636,0.006081933999666944,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,5,11030047,1.0,1.0,1636,0.006017929998051841,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,6,11030048,1.0,1.0,1636,0.006025360999046825,True,False,0,medium,n*sqrt(n),
medium,reverse,high,128,7,11030049,1.0,1.0,1636,0.0061656899997615255,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,1,11040043,1.0,1.0,4367,0.012453831001039362,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,2,11040044,1.0,1.0,4367,0.012383340002998011,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,3,11040045,1.0,1.0,4367,0.012362674999167211,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,4,11040046,1.0,1.0,4367,0.012350618999334984,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,5,11040047,1.0,1.0,4367,0.013317644003109308,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,6,11040048,1.0,1.0,4367,0.013858696998795494,True,False,0,medium,n*sqrt(n),
medium,reverse,high,256,7,11040049,1.0,1.0,4367,0.013435722001304384,True,False,0,medium,n*sqrt(n),
complex,random,random,16,1,20000043,,0.5833333333333334,96,0.0022148730022308882,True,False,0,complex,n*log2(n),
complex,random,random,16,2,20000044,,0.475,96,0.002234527997643454,True,False,0,complex,n*log2(n),
complex,random,random,16,3,20000045,,0.475,96,0.002157964998332318,True,False,0,complex,n*log2(n),
